round,timestamp,avg_time_ns,max_time_ns,min_time_ns,stdev_time_ns,suspicious_count
0,1762785744.4461083,78.8359375,1070,60,67.2774503892824,5
1,1762785744.50235,74.88671875,800,60,47.87924823085635,3
2,1762785744.5537975,61.765625,680,50,40.190913883905765,2
3,1762785744.6052885,78.203125,770,60,45.62306939240622,4
4,1762785744.6568298,73.94921875,560,60,32.034805816501844,3
5,1762785744.7083826,74.1796875,580,60,33.840904264965914,5
6,1762785744.75991,77.30859375,1020,60,60.95406888873898,4
7,1762785744.8114164,77.703125,880,60,52.90655608212075,3
8,1762785744.8628585,61.2109375,510,50,29.962369168282915,3
9,1762785744.914342,61.95703125,660,50,39.606917960978066,4
10,1762785744.9657872,74.49609375,590,60,34.71599033127778,6
11,1762785745.0172634,74.45703125,580,60,33.86799792873769,6
12,1762785745.068709,76.40625,580,60,33.65882747016994,4
13,1762785745.120409,91.453125,1830,50,115.95471458001755,5
14,1762785745.1718824,62.97265625,1010,50,60.74565452363569,3
15,1762785745.2233465,74.14453125,580,60,33.932092065422,4
16,1762785745.2751744,65.3515625,490,50,38.94532917071938,4
17,1762785745.3265882,71.25390625,520,50,37.82096607541181,8
18,1762785745.3780434,73.55859375,580,60,33.58916264848635,2
19,1762785745.4295027,75.23828125,710,60,41.96060079401983,4
20,1762785745.4809542,74.140625,600,60,34.96838558178056,4
21,1762785745.5323513,61.4453125,520,50,30.380930188485788,4
22,1762785745.5838103,75.625,780,60,45.585515415384684,2
23,1762785745.6352975,82.703125,590,60,37.57092312821023,9
24,1762785745.686787,113.6796875,9801,60,608.7765156583793,1
25,1762785745.738297,74.21875,580,60,33.539192759820445,4
26,1762785745.7897592,75.0390625,560,60,32.551594604174305,5
27,1762785745.8412688,77.58203125,1110,60,66.33498699319428,2
28,1762785745.8928297,80.6640625,770,60,44.74709364535179,2
29,1762785745.9442804,79.22265625,580,60,34.09481063347255,4
30,1762785745.995796,78.1640625,570,60,33.00844273313521,4
31,1762785746.0472722,79.4140625,540,60,32.01789385579233,3
32,1762785746.0987537,78.55859375,570,60,33.06257413164898,3
33,1762785746.150274,75.546875,510,60,30.001531823637038,5
34,1762785746.2018082,80.5546875,1110,60,71.11115944455567,4
35,1762785746.2533205,80.00390625,580,60,33.872945771952104,4
36,1762785746.3049192,81.7578125,820,60,47.96685883574854,2
37,1762785746.3564794,105.703125,560,60,42.79790344416051,11
38,1762785746.4079423,65.078125,500,50,29.730715450127846,5
39,1762785746.4594233,76.48828125,570,60,35.614711921755145,6
40,1762785746.51083,62.7734375,490,50,36.230788519775636,2
41,1762785746.5623367,63.7109375,690,50,46.008294621944074,2
42,1762785746.6137865,75.12109375,580,60,34.011949808551286,5
43,1762785746.6652968,74.88671875,580,60,34.173015087515594,6
44,1762785746.716838,75.703125,590,60,43.51575948469028,3
45,1762785746.768279,74.2578125,510,60,29.62901230378831,5
46,1762785746.8198373,79.4140625,980,60,60.6116571126477,5
47,1762785746.871351,76.6796875,610,60,36.551212226081894,5
48,1762785746.9228716,79.02734375,1380,60,82.52008213319718,2
49,1762785746.974438,65.1953125,750,50,49.19709199021948,5
50,1762785747.0259314,78.6015625,710,60,41.81571894025255,3
51,1762785747.0790825,62.97265625,830,50,50.27761395565157,4
52,1762785747.1308312,62.62109375,690,50,40.90842216816991,3
53,1762785747.1823123,62.96875,740,50,45.05089714238034,2
54,1762785747.2337644,61.796875,680,50,40.14549214065866,2
55,1762785747.2852902,77.0703125,980,60,59.227137870186816,3
56,1762785747.336784,77.9765625,830,60,50.816619921971565,3
57,1762785747.3883953,104.8828125,2260,70,145.39191773495202,7
58,1762785747.4399047,74.609375,640,60,36.81223888019512,2
59,1762785747.4917233,93.98828125,1340,70,84.05341356970928,4
60,1762785747.5431876,60.58984375,500,50,29.346605749133886,6
61,1762785747.5946689,62.5859375,1100,50,66.79468422476653,3
62,1762785747.6461437,62.734375,820,50,50.63850884881359,4
63,1762785747.6976795,76.60546875,820,60,48.76237509471263,4
64,1762785747.7493305,81.21484375,1420,60,85.75165198417291,5
65,1762785747.800842,76.9140625,770,60,45.37694453781827,3
66,1762785747.8522916,62.1171875,540,50,31.921133473843028,4
67,1762785747.9038055,79.5390625,1380,60,82.88304089581447,3
68,1762785747.9553277,76.953125,750,60,44.99339548483646,2
69,1762785748.006859,81.17578125,1580,60,96.77601164937417,4
70,1762785748.0584836,76.2109375,700,60,42.13073068601178,3
71,1762785748.1101508,77.2265625,1150,60,68.24784301339048,2
72,1762785748.161725,75.3515625,660,60,39.395847266720196,3
73,1762785748.2133956,119.9609375,850,90,51.19358145180649,10
74,1762785748.2649155,75.39453125,570,60,33.74362117460855,8
75,1762785748.3163786,75.078125,580,60,33.885530343594546,5
76,1762785748.367909,77.3046875,1010,60,60.11232082689936,4
77,1762785748.4193966,74.41796875,590,60,34.08779192336729,5
78,1762785748.4708612,74.421875,570,60,34.017091292466496,5
79,1762785748.5223534,63.87109375,700,50,42.38223573916317,4
80,1762785748.573839,75.82421875,570,60,38.807574045652785,3
81,1762785748.6253238,74.30078125,580,60,33.87785671877492,4
82,1762785748.6768868,76.015625,880,60,53.11238316153813,5
83,1762785748.7284613,62.66015625,870,50,52.129906872770505,2
84,1762785748.779951,74.2265625,610,60,35.443899852650325,4
85,1762785748.8314064,62.73828125,670,50,39.61983385479263,3
86,1762785748.8828504,62.69921875,630,50,37.37650724057696,2
87,1762785748.9343333,61.875,510,50,30.091364144525443,4
88,1762785748.9858415,75.90625,790,60,47.12735145222953,4
89,1762785749.0373745,79.3359375,650,60,44.280173466856496,5
90,1762785749.0890079,99.02734375,1570,70,95.667291285665,6
91,1762785749.1406407,98.671875,1260,70,77.13366136575053,10
92,1762785749.1922724,97.66015625,1640,70,102.92505237428836,7
93,1762785749.2439458,92.58203125,1300,70,85.46239345738971,9
94,1762785749.2955441,83.8359375,1100,70,64.65095147761387,2
95,1762785749.3470187,65.78515625,810,50,50.932988793378996,5
96,1762785749.3985965,101.296875,1150,70,77.08135344569145,7
97,1762785749.4502087,103.01171875,1810,70,115.42485824703463,9
98,1762785749.501666,66.6015625,690,50,42.06173611024447,6
99,1762785749.553102,60.625,500,50,28.785889789624225,2
100,1762785749.6046853,79.140625,810,60,54.33414906761641,4
101,1762785749.658227,76.33203125,580,60,33.98597042401121,4
102,1762785749.7096853,63.671875,680,50,40.27106378569323,3
103,1762785749.761183,76.41015625,910,60,54.04797917877063,2
104,1762785749.8126104,62.54296875,530,50,31.557325823218054,4
105,1762785749.8641033,74.8828125,580,60,33.711374956690634,5
106,1762785749.9155507,62.19140625,500,50,29.15621355050997,3
107,1762785749.9670336,73.7890625,510,60,29.758808837575682,5
108,1762785750.0185409,77.46484375,810,60,47.53185448269114,3
109,1762785750.0701451,77.85546875,580,60,49.00994906374003,5
110,1762785750.1215613,62.7734375,890,50,52.97912498167113,2
111,1762785750.1731682,77.03125,800,60,48.253568393903244,4
112,1762785750.2246556,61.4921875,751,50,44.26355932167599,2
113,1762785750.276191,76.796875,560,60,40.3112127397455,3
114,1762785750.3277447,75.9765625,570,60,33.51065732586821,7
115,1762785750.3792028,75.3125,510,60,29.715975765340005,6
116,1762785750.43081,65.5859375,710,50,54.883552640934205,4
117,1762785750.4824364,81.1796875,770,60,56.86260476867404,5
118,1762785750.5340054,78.6328125,1060,60,63.2648179767195,2
119,1762785750.5855083,76.171875,790,60,46.814127141280764,4
120,1762785750.636963,61.37109375,500,50,29.37250589119749,3
121,1762785750.68844,63.6015625,680,50,45.27395300919096,4
122,1762785750.7398746,61.44921875,660,50,38.9037696567428,4
123,1762785750.7913456,74.53515625,580,60,33.8355703072182,4
124,1762785750.842753,61.17578125,450,50,26.273604874716852,5
125,1762785750.894346,80,580,60,41.68038989693816,3
126,1762785750.9458318,77.81640625,740,60,43.284755777531984,3
127,1762785750.9973178,73.94921875,570,60,33.38946292891475,4
128,1762785751.0487957,62.7734375,810,50,48.35047131084031,2
129,1762785751.1003103,76.2890625,530,60,39.673896657379046,6
130,1762785751.1517484,62.6171875,660,50,39.55371053588858,5
131,1762785751.2032375,62.734375,490,50,37.67174722807115,2
132,1762785751.2548037,80.703125,1170,60,73.75299096626921,3
133,1762785751.3063493,73.359375,580,60,33.237761274035954,5
134,1762785751.3580055,77.4609375,870,60,51.344648970863325,2
135,1762785751.4095044,77.3046875,760,60,44.88941682230968,3
136,1762785751.4610991,78.75,760,60,51.09775329852442,5
137,1762785751.512531,61.01953125,500,50,29.22226537256997,2
138,1762785751.5639598,61.4140625,500,50,29.526333170412407,3
139,1762785751.6154914,75.625,880,60,51.68911593248963,3
140,1762785751.6670568,80.0390625,760,60,51.93886335838304,4
141,1762785751.7185667,76.9921875,590,60,35.29061333706007,5
142,1762785751.77008,79.45703125,650,60,38.89077350854746,5
143,1762785751.8215215,63.8671875,980,50,60.77510727440706,4
144,1762785751.8731606,66.2890625,670,50,57.93081097562952,4
145,1762785751.924626,73.51953125,510,60,30.164899894774468,6
146,1762785751.976133,77.85546875,780,60,46.37881752560677,3
147,1762785752.0277052,76.171875,770,60,45.49718532556734,4
148,1762785752.0792222,64.02734375,840,50,54.1091420130393,3
149,1762785752.1306732,62.6171875,1040,50,62.55809799698197,2
150,1762785752.182165,77.9765625,720,60,42.772258710478205,4
151,1762785752.2353616,73.20703125,580,60,33.72018813148214,4
152,1762785752.286877,76.6796875,770,60,45.833361185374784,4
153,1762785752.3383915,74.10546875,610,60,35.32405459061273,3
154,1762785752.3899267,78.515625,570,60,40.691856751472436,7
155,1762785752.4413636,62.62109375,680,50,40.73454217071604,4
156,1762785752.4928565,75.58984375,720,60,42.7166649572919,5
157,1762785752.5443375,75.90234375,771,60,45.347570944469844,3
158,1762785752.5957882,65.9375,820,50,50.96615562908236,8
159,1762785752.6472647,74.0234375,590,60,35.222311298881195,8
160,1762785752.6987772,74.8046875,790,60,46.66065371801125,2
161,1762785752.7502968,74.921875,840,60,49.5073152645736,2
162,1762785752.8018482,76.05859375,760,60,51.48021211672824,5
163,1762785752.853366,67.5390625,600,50,42.11793011016455,6
164,1762785752.9048138,74.41796875,610,60,35.65104719435211,3
165,1762785752.9562693,63.359375,680,50,41.39294898276995,5
166,1762785753.0077417,73.3203125,560,60,32.45979319126368,3
167,1762785753.0592656,75.47265625,680,60,47.28444625064771,4
168,1762785753.1106994,73.36328125,520,60,30.15679384605614,6
169,1762785753.162167,74.53515625,690,60,41.375169383872226,4
170,1762785753.213616,60.74609375,520,50,30.98124012339295,4
